staff_id,staff_position_name,staff_salary,start_date,end_date
1,Staff,1000.00,2024-09-01,2024-09-30
1,Manager,1000.00,2024-10-01,NULL
2,Staff,1000.00,2024-09-01,NULL
3,Staff,1000.00,2024-09-01,2024-10-31
3,Manager,1000.00,2024-10-01,NULL
4,Staff,1000.00,2024-10-01,NULL
5,Staff,1000.00,2024-10-01,2024-10-31
6,Staff,1000.00,2024-10-01,2024-10-31
7,Staff,1000.00,2024-10-01,2024-10-31
8,Staff,1000.00,2024-10-01,NULL
9,Staff,1000.00,2024-10-01,2024-10-31
9,Manager,1000.00,2024-11-01,NULL
10,Staff,1000.00,2024-11-01,NULL
11,Staff,1000.00,2024-11-01,NULL
12,Staff,1000.00,2024-11-01,NULL
13,Staff,1000.00,2024-11-01,NULL
14,Staff,1000.00,2024-11-01,NULL
15,Staff,1000.00,2024-11-01,NULL
